__UUID4__;db0c0e01-a78f-4b9a-a535-142c254cdd0c
__CREATED-ON__;2021-02-19 18:25:46.931292
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
STATE;2021-02-19 18:26:16.636988;nan;nan;check_reward_left;nan
STATE;2021-02-19 18:26:16.636988;nan;nan;small_reward_left;nan
STATE;2021-02-19 18:26:16.636988;nan;nan;reward_left_waiting;nan
TRIAL;2021-02-19 18:26:16.852003;;;New trial;
SOFTCODE;2021-02-19 18:26:16.858005;;;5;
EVENT;2021-02-19 18:26:18.857152;2.0;;158;Tup
TRANSITION;2021-02-19 18:26:18.858152;2.0;;sync_state_1;
EVENT;2021-02-19 18:26:18.858152;2.0001;;158;Tup
TRANSITION;2021-02-19 18:26:18.858152;2.0001;;reset_rotary_encoder_wheel_stopping_check;
EVENT;2021-02-19 18:26:18.858152;2.0002;;158;Tup
TRANSITION;2021-02-19 18:26:18.858152;2.0002;;wheel_stopping_check;
EVENT;2021-02-19 18:26:19.858226;3.0002;;158;Tup
TRANSITION;2021-02-19 18:26:19.858226;3.0002;;present_stim;
SOFTCODE;2021-02-19 18:26:19.858226;;;1;
EVENT;2021-02-19 18:26:19.858226;3.0003;;158;Tup
TRANSITION;2021-02-19 18:26:19.858226;3.0003;;sync_state_2;
EVENT;2021-02-19 18:26:19.859229;3.0004;;158;Tup
TRANSITION;2021-02-19 18:26:19.859229;3.0004;;reset_rotary_encoder_open_loop;
EVENT;2021-02-19 18:26:19.859229;3.0005;;158;Tup
TRANSITION;2021-02-19 18:26:19.859229;3.0005;;open_loop;
SOFTCODE;2021-02-19 18:26:19.859229;;;2;
EVENT;2021-02-19 18:26:20.288257;3.4122000000000003;;3;RotaryEncoder1_4
EVENT;2021-02-19 18:26:21.253330;4.3956;;1;RotaryEncoder1_2
TRANSITION;2021-02-19 18:26:21.253330;4.3956;;stop_open_loop_reward_left;
SOFTCODE;2021-02-19 18:26:21.253330;;;3;
EVENT;2021-02-19 18:26:23.253325;6.3956;;158;Tup
TRANSITION;2021-02-19 18:26:23.253325;6.3956;;check_reward_left;
EVENT;2021-02-19 18:26:23.253325;6.395700000000001;;158;Tup
TRANSITION;2021-02-19 18:26:23.253325;6.395700000000001;;small_reward_left;
SOFTCODE;2021-02-19 18:26:23.253325;;;4;
EVENT;2021-02-19 18:26:23.353333;6.4957;;158;Tup
TRANSITION;2021-02-19 18:26:23.353333;6.4957;;reward_left_waiting;
EVENT;2021-02-19 18:26:24.253399;7.395700000000001;;158;Tup
TRANSITION;2021-02-19 18:26:24.253399;7.395700000000001;;inter_trial;
END-TRIAL;2021-02-19 18:26:25.575497;;;The trial ended;
INFO;2021-02-19 18:26:31.310978;;;SESSION-ENDED;2021-02-19 18:26:31.310978
